ลำดับ,เลขทะเบียนโรงงาน,FID,TSIC,รหัสประเภท,จำพวก,ปีที่ได้รับอนุญาต,ชื่อโรงงาน,ผู้ประกอบการ,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,รหัสจังหวัด,จังหวัด,รหัสไปรษณีย์,โทรศัพท์,ค่าอาคาร,ค่าที่ดิน,ค่าเครื่องจักร,เงินทุนหมุนเวียน,เงินทุนรวม,ชาย,หญิง,คนงานรวม,แรงม้ารวม,พื้นที่โรงงาน,พื้นที่อาคาร
11,จ3-10(3)-3/61ชบ,2.02E+13,10743,1003,3,61,โรงงานสาคูกรณิฑัศณ์,โรงงานสาคูกรณิฑัศณ์,ทำโรงงานเม็ดสาคูเพื่อขายให้กับชุมชนเพื่อนำไปผลิตเป็นอาหารหรือขนมขายให้กับนักท่องเที่ยว,49/4,1,,,เกาะจันทร์,เกาะจันทร์,20,ชลบุรี,20240,082-2150088,1680000,0,1500000,1000000,4180000,8,2,10,135.56,2712,1140
12,3-15(1)-9/60ชบ,1.02E+13,10801,1501,3,60,บริษัท พนัส ฟีดมิลล์ จำกัด,บริษัท พนัส ฟีดมิลล์ จำกัด,ผลิตอาหารสัตว์,888,7,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,038-460000,295000000,63000000,193000000,180000000,731000000,14,10,24,6415.5,71869,1050
13,จ3-34(1)-46/50ชบ,2.02E+13,16101,3401,3,50,,นางสุทธิรา สุดถิน,แปรรูปไม้ ทำวงกบประตู หน้าต่าง และทำเครื่องเรือน เช่น เฟอร์นิเจอร์จากไม้,245,12,,,เกาะจันทร์,เกาะจันทร์,20,ชลบุรี,20240,081-9824748,200000,3000000,300000,100000,3600000,13,0,13,298.14,0,0
14,จ3-34(1)-6/63ชบ,2.02E+13,16101,3401,3,63,บริษัท พูลผลทวีพูล จำกัด,บริษัท พูลผลทวีพูล จำกัด,แปรรูปไม้เพื่อประดิษฐกรรม ไส ซอย ทำวงกบ ประตูหน้าต่าง และเครื่องเรือนเครื่องใช้จากไม้,"โฉนดที่ดินเลขที่ 12380, 8282",7,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,3000000,10000000,3000000,5000000,21000000,6,4,10,168,19412,720
15,จ3-34(2)-2/44ชบ,2.02E+13,16220,3402,3,44,,นางสาวนิรมล ทวีวัฒนานนท์,ทำวงกบ ประตู หน้าต่างจากไม้แปรรูป,37/4,2,,สาย 331,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,209005,500000,3000000,800000,500000,4800000,6,0,6,96.5,10992,563
16,3-34(4)-28/53ชบ,1.02E+13,16299,3404,3,53, บริษัท ชัยโย ไบโอฟูเอล จำกัด, บริษัท ชัยโย ไบโอฟูเอล จำกัด,ผลิตชิ้นไม้สับจากไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย,243,12,-,-,เกาะจันทร์,เกาะจันทร์,20,ชลบุรี,20240,089-7977978,18000000,17000000,40000000,20000000,95000000,36,1,37,447.5,38840,360
17,จ3-34(4)-30/58ชบ,2.02E+13,16299,3404,3,58,บริษัท กรีน เอ็นเนอร์ยี่ เทรดดิ้ง จำกัด,บริษัท กรีน เอ็นเนอร์ยี่ เทรดดิ้ง จำกัด,ผลิตเชื้อเพลิงแข็งอัดเม็ด (wood pellet),108,1,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,038-209311,0,16000000,18992500,5000000,39992500,9,0,9,475.89,4140,2140
18,จ3-34(4)-11/62ชบ,2.02E+13,16299,3404,3,62,บริษัท ไบแทค จำกัด,บริษัท ไบแทค จำกัด,ผลิตก้อนชีวมวลสำหรับใช้ในฟาร์ม และเชื้อเพลิงอัดก้อน/แท่ง,108,1,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,087-0113940,20000000,20000000,5000000,2000000,47000000,11,0,11,105,16560,1563
19,จ3-34(5)-3/56ชบ,2.02E+13,16102,3405,3,56,บริษัท เดอะโอเชี่ยนวู้ด จำกัด,บริษัท เดอะโอเชี่ยนวู้ด จำกัด,อบไม้และอัดน้ำยาไม้,142/3,7,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,800000,3500000,2000000,5000000,11300000,8,2,10,153,3784,0
20,จ3-36(1)-16/59ชบ,2.02E+13,16230,3601,3,59,ห้างหุ้นส่วนจำกัด จงเทพ แอนด์ บิวดิ้ง,ห้างหุ้นส่วนจำกัด จงเทพ แอนด์ บิวดิ้ง,ผลิตไม้พาเลท,142/3,7,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,038-209937,14000000,8000000,3000000,5000000,30000000,25,5,30,187,8936,2340
21,จ3-36(1)-4/45ชบ,2.02E+13,16230,3601,3,45,บริษัท เค.ที.คอนสตรัคชั่น แอนด์ ซัพพลาย จำกัด,บริษัท เค.ที.คอนสตรัคชั่น แอนด์ ซัพพลาย จำกัด,ทำลัง ภาชนะรองรับสินค้าและเครื่องเรือนจากไม้,107,1,-,-,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,1000000,1500000,1500000,300000,4300000,11,13,24,93,8000,875
22,จ3-36(1)-8/54ชบ,2.02E+13,16230,3601,3,54,ห้างหุ้นส่วนจำกัด อุดม สุริยะ แอนด์ พาร์เลท,ห้างหุ้นส่วนจำกัด อุดม สุริยะ แอนด์ พาร์เลท,ทำแผ่นรองรับสินค้าจากไม้ ทำลังไม้และอบไม้,195,2,,331,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,150000,3000000,1000000,3000000,7150000,9,2,11,80.5,1600,499
23,จ3-36(1)-3/44ชบ,2.02E+13,16230,3601,3,44,บริษัท ทองคำบรรจง จำกัด,บริษัท ทองคำบรรจง จำกัด,ทำแผ่นรองสินค้าจากไม้ (พาเลท) ลังไม้,103/5,1,เทศบาล 15,เกาะโพธิ์-เกาะจันทร์,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,038-209475,1000000,500000,300000,1000000,2800000,13,4,17,98.5,11200,429
24,3-37-2/44ชบ,1.02E+13,31001,3700,3,44,บริษัท เดคคา เอ็มเอฟจี (ประเทศไทย) จำกัด,บริษัท เดคคา เอ็มเอฟจี (ประเทศไทย) จำกัด,ทำเครื่องเรือนจากไม้ยางพารา,20-ก.พ.,7,,ฉะเชิงเทรา-สัตหีบ,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,038-209980,40000000,14000000,82000000,8000000,144000000,123,145,268,2145.64,46140,18328
25,จ3-37-18/64ชบ,2.02E+13,31001,3700,3,64,บริษัท แอ๊บโซลูท เพาเวอร์ เวิลด์ จำกัด,บริษัท แอ๊บโซลูท เพาเวอร์ เวิลด์ จำกัด,ผลิตชิ้นส่วนละอุปกรณ์เฟอร์นิเจอร์จากไม้,66,4,,ชลประทาน,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,5000000,5000000,1000000,5000000,16000000,11,10,21,417.3,1000,1000
26,จ3-37-187/54ชบ,2.02E+13,31001,3700,3,54,บริษัท ดีลักซ์ แอนด์ เดคคอร์ จำกัด,บริษัท ดีลักซ์ แอนด์ เดคคอร์ จำกัด,ผลิตเฟอร์นิเจอร์,111/1,1,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,10000000,4000000,5000000,5000000,24000000,100,50,150,298.25,48,5000
27,3-37-1/45ชบ,1.02E+13,31001,3700,3,45,บริษัท ซีเอชโอโตอินดัสตรี่ จำกัด,บริษัท ซีเอชโอโตอินดัสตรี่ จำกัด,ทำเครื่องเรือนหรือเครื่องตบแต่งภายในอาคารจากไม้ยางพาราแปรรูป รวมถึงชิ้นส่วนของผลิตภัณฑ์ดังกล่าว,99,8,บชร.1,สาย 331,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,081-7792314,16000000,2000000,18000000,5000000,41000000,231,338,569,2113.4,8000,6660
28,จ3-37-186/54ชบ,2.02E+13,31001,3700,3,54,บริษัท เอ.ดับบลิว.วู้ดเทค จำกัด,บริษัท เอ.ดับบลิว.วู้ดเทค จำกัด,ผลิตและจำหน่ายเฟอร์นิเจอร์,103/2,1,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,038-208758,2500000,1000000,1500000,2000000,7000000,37,18,55,148.5,9600,2000
29,จ3-45(1)-2/41ชบ,2.02E+13,20221,4501,3,41,บริษัท ยู.พี.เอ็น.อินดัสเทรียล เท็ค จำกัด,บริษัท ยู.พี.เอ็น.อินดัสเทรียล เท็ค จำกัด,ผลิตสีทาหรือพ่นในโรงงานอุตสาหกรรมก่อสร้าง,345,7,บ้านหนองงูเหลือม,ชลบุรี-ระยอง,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,0 1452 1211,1000000,0,300000,1000000,2300000,5,2,7,96,27200,720
30,3-52(4)-17/59ชบ,1.02E+13,22199,5204,3,59,บริษัท คิว แอนด์ คิว โฮลดิ้ง จำกัด,บริษัท คิว แอนด์ คิว โฮลดิ้ง จำกัด,ผลิตยางแผ่น (Master Batch) และตัดแผ่นพื้นรองเท้า,183/19,8,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,18000000,10000000,30000000,10000000,68000000,19,1,20,182.7,432,432
31,จ3-53(1)-41/64ชบ,2.02E+13,22210,5301,3,64,บริษัท เห้อซัน ไทย อินเตอร์เนชั่นแนล จำกัด,บริษัท เห้อซัน ไทย อินเตอร์เนชั่นแนล จำกัด,ฉีดพลาสติกเป็นชิ้นส่วนอะไหล่ของกระเป๋าเดินทางและผลิตกระเป๋าเดินทาง,โฉนดที่ดินเลขที่ 12329,7,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,10000000,20000000,10000000,5000000,45000000,20,10,30,490,53286,11968
32,จ3-53(1)-20/56ชบ,2.02E+13,22210,5301,3,56,บริษัท ไทย ชลเทค 009 จำกัด,บริษัท ไทย ชลเทค 009 จำกัด,ผลิตชิ้นส่วนเรื่องใช้ไฟฟ้า และชิ้นส่วนรถยนต์พลาสติก,222/2,7,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,038-208047,7000000,1400000,18000000,2000000,28400000,12,8,20,292,6236,648
33,จ3-53(4)-23/55ชบ,2.02E+13,22220,5304,3,55,บริษัท บารมี แพค จำกัด,บริษัท บารมี แพค จำกัด,ผลิตภัณฑ์ถุงพลาสติก,534,4,-,-,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,-,500000,1500000,3000000,2000000,7000000,7,7,14,172,94,940
34,จ3-53(4)-49/60ชบ,2.02E+13,22220,5304,3,60,บริษัท ไคบิ แพ็ก จำกัด,บริษัท ไคบิ แพ็ก จำกัด,ทำภาชนะบรรจุ เช่น ถุงหรือกระสอบ,88/8,6,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,615500,4000000,6450000,4000000,15065500,40,250,290,348.53,16000,5864
35,จ3-53(5)-52/57ชบ,2.02E+13,22230,5305,3,57,บริษัท แอ๊บโซลูท เพาเวอร์ เวิลด์ จำกัด,บริษัท แอ๊บโซลูท เพาเวอร์ เวิลด์ จำกัด,ผลิตเม็ดพลาสติกเกรดบี และบดย่อยพลาสติก,-,4,,เลียบคลองชลประทาน,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,35000000,70000000,60000000,60000000,225000000,20,0,20,4336.14,48060,2625
36,จ3-53(5)-89/60ชบ,2.02E+13,22230,5305,3,60,บริษัท ไอ แคน รีไซเคิล จำกัด,บริษัท ไอ แคน รีไซเคิล จำกัด,ผลิตถุงพลาสติก,391,7,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,088-1989196,2000000,2000000,2000000,1000000,7000000,3,3,6,141.4,38364,865
37,จ3-53(5)-32/58ชบ,2.02E+13,22230,5305,3,58,บริษัท ชัยวัฒน์พลาสติก 2015 จำกัด,บริษัท ชัยวัฒน์พลาสติก 2015 จำกัด,ทำเม็ดพลาสติกจากพลาสติกใช้แล้ว และบดย่อยพลาสติก,99,3,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,24000000,5000000,3500000,4000000,36500000,23,15,38,487.77,15408,3000
38,จ3-53(9)-7/65ชบ,2.02E+13,22299,5309,3,65,บริษัท วิสุทธิ์ พลาสติก จำกัด,บริษัท วิสุทธิ์ พลาสติก จำกัด,ล้างและบดย่อยเศษพลาสติกและชิ้นส่วน,183/19,8,-,-,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,43200000,120000000,30000000,60000000,253200000,38,10,48,495.12,65500,3168
39,จ3-56-2/63ชบ,2.02E+13,23921,5600,3,63,บริษัท ไท้เหม่ย สโตน จำกัด,บริษัท ไท้เหม่ย สโตน จำกัด,ผลิตหินเทียม เช่น หินแกรนิต,168,9,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,46600000,3400000,10000000,2000000,62000000,15,12,27,480.42,36064,20237
40,3-57(1)-1/37ชบ,1.02E+13,23941,5701,3,37,บริษัท คนอฟ ปลาสเตอร์ จำกัด,บริษัท คนอฟ ปลาสเตอร์ จำกัด,ผลิตปูนพลาสเตอร์,29,7,-,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,038-209759-60,1000000,0,1000000,73000000,75000000,68,21,89,3401.6,50000,3250
41,จ3-58(1)-190/63ชบ,2.02E+13,23951,5801,3,63,บริษัท อนันต์คอนกรีต 2019 จำกัด,บริษัท อนันต์คอนกรีต 2019 จำกัด,โรงงานทำผลิตภัณฑ์คอนกรีตผสม,โฉนดที่ดินเลขที่ 5673,1,,,เกาะจันทร์,เกาะจันทร์,20,ชลบุรี,20240,081-8639947,0,120000,3000000,2000000,5120000,5,0,5,252.5,9564,64
42,จ3-59-13/50ชบ,2.02E+13,24101,5900,3,50,บริษัท เอเซียเวสต์ แมนเน็จเม้นท์ จำกัด,บริษัท เอเซียเวสต์ แมนเน็จเม้นท์ จำกัด,"หลอมหล่อโลหะ เช่น เหล็ก , ทองแดง , ทองเหลือง และอลูมิเนียม",นส3ก. เลขที่ 118,3,,,เกาะจันทร์,เกาะจันทร์,20,ชลบุรี,20240,,10000000,70000000,22000000,10000000,112000000,20,5,25,236,,0
43,3-62-1/37ชบ,1.02E+13,31002,6200,3,37,บริษัท เดอะแกรนด์ ยูบี จำกัด,บริษัท เดอะแกรนด์ ยูบี จำกัด,ทำเครื่องใช้ในห้องสมุดและสำนักงาน,55/9,7,,สาย 331,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,(038)779-609,263000000,57000000,259000000,300000000,879000000,70,24,94,4467.5,79900,37382
44,จ3-64(2)-1/46ชบ,2.02E+13,25910,6402,3,46,บริษัท ดี.บี.ไดมอนด์ (ประเทศไทย) จำกัด,บริษัท ดี.บี.ไดมอนด์ (ประเทศไทย) จำกัด,ขึ้นรูปโลหะโดยวิธีปั้มและทำแม่พิมพ์ขึ้นรูปโลหะทุกชนิด,364/1,5,-,-,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,038-208031,20000000,0,12000000,5000000,37000000,11,19,30,371.82,5000,1250
45,จ3-64(8)-1/46ชบ,2.02E+13,25991,6408,3,46,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,ผลิตผลิตภัณฑ์จากโลหะ (ซิงส์) สำหรับใช้ในการต่อท่อและส่วนประกอบเครื่องสุขภัณฑ์,60,4,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,0,0,0,165000000,165000000,135,211,346,463.73,0,0
46,ส3-64(8)-1/34ชบ,2.01E+11,25991,6408,3,34,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,ผลิตผลิตภัณฑ์จากโลหะทองเหลืองสำหรับใช้ในการต่อท่อและประกอบเครื่องสุขภัณฑ์,64,4,,ชลประทาน,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,46000000,10000000,73000000,171000000,300000000,649,409,1058,4616.81,73288,2700
47,3-64(8)-2/44ชบ,1.02E+13,25991,6408,3,44,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,ผลิตผลิตภัณฑ์จากโลหะทองเหลือง สำหรับใช้ในการต่อท่อและประกอบเครื่องสุขภัณฑ์,62,4,,ชลประทาน,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,038-208807-9,75000000,9400000,175000000,80000000,339400000,226,44,270,6966.55,11580,11580
48,จ3-67(7)-7/59ชบ,2.02E+13,28229,6707,3,59,บริษัท ไทย หยวน แมชชิน (ไทยแลนด์) จำกัด,บริษัท ไทย หยวน แมชชิน (ไทยแลนด์) จำกัด,ผลิตแม่พิมพ์เครื่องจักร ผลิตเครื่องจักร และชิ้นส่วนเครื่องจักร,98,8,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,081-9435535,0,0,20000000,5000000,25000000,7,0,7,273,16004,1200
49,จ3-70-10/50ชบ,2.02E+13,28160,7000,3,50,บริษัท วินด์ ไรเดอร์ จำกัด,บริษัท วินด์ ไรเดอร์ จำกัด,ผลิตเครื่องดูดฝุ่นอุตสาหกรรม (BLOWER) และอุปกรณ์ระบบบำบัดมลพิษทางอากาศ,33/1,7,-,ทางหลวงหมายเลข 331,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,038-208027-8,12000000,0,8000000,4000000,24000000,10,2,12,156.5,7650,1710
50,จ3-77(1)-14/57ชบ,2.02E+13,29109,7701,3,57,บริษัท เอ็ม.เอช.ซี (ไทยแลนด์) จำกัด,บริษัท เอ็ม.เอช.ซี (ไทยแลนด์) จำกัด,สร้าง ประกอบ ดัดแปลงหรือเปลี่ยนแปลงสภาพรถยนต์หรือรถพ่วง และชิ้นส่วนตกแต่งรถยนต์,129,5,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,081-3441883,25000000,5000000,30000000,50000000,110000000,15,0,15,80.37,12800,1032
51,จ3-77(2)-11/55ชบ,2.02E+13,29309,7702,3,55,บริษัท ซุ่นชัย อินดัสตรี้ จำกัด,บริษัท ซุ่นชัย อินดัสตรี้ จำกัด,ต่อตัวถังรถทุกชนิด ทำกะบะไม้ กะบะเหล็ก ถังเหล็กและหัวเก๋งสำหรับรถบรรทุกทุกชนิด,999,7,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,10000000,10000000,500000,1000000,21500000,30,0,30,280,54612,7680
52,จ3-78(2)-4/57ชบ,2.02E+13,30912,7802,3,57,บริษัท โซริทสึ (ไทยแลนด์) จำกัด,บริษัท โซริทสึ (ไทยแลนด์) จำกัด,ผลิตชิ้นส่วนรถจักรยานยนต์,49/1,7,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,038-209440,0,0,5200000,10000000,15200000,20,10,30,882.37,8000,2000
53,3-101-1/48ชบ,1.02E+13,37000,10100,3,48,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,บริษัท เซิ่งไท่ บราซแวร์ (ประเทศไทย) จำกัด,บำบัดน้ำเสียรวม,64,4,-,ชลประทาน,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,038-209266-8,0,0,10000000,2000000,12000000,6,0,6,64.55,400,400
54,3-101-1/43ชบ,1.02E+13,37000,10100,3,43,บริษัท รีไซเคิล เอ็นจิเนียริ่ง จำกัด,บริษัท รีไซเคิล เอ็นจิเนียริ่ง จำกัด,ต้มกลั่นตัวทำละลายและเคมีภัณฑ์ที่ผ่านการใช้งานแล้ว เพื่อนำกลับมาใช้ประโยชน์ใหม่ แยกสลายสารประกอบโพลิเมอร์คืนสภาพเดิม ซ่อมและล้างถังบรรจุเคมีภัณฑ์อุปกรณ์จับยึดชิ้นงาน ต้มกลั่นน้ำมันเครื่องใช้แล้ว และรีไซเคิลสารเคมีที่ใช้แล้วจากห้องปฏิบัติการ (Lab Waste),57,7,-,เจริญโชคดี,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,038-209913-5,40000000,0,40000000,10000000,90000000,140,47,187,2822.6,30000,6165
55,3-105-23/66ชบ,1.02E+13,38211,10500,3,66,บริษัท วิสุทธิ์ พลาสติก จำกัด,บริษัท วิสุทธิ์ พลาสติก จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,โฉนดที่ดินเลขที่ 5969+,8,-,-,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,64800000,120000000,30000000,60000000,274800000,25,25,50,667,3600,3600
56,3-105-45/58ชบ,1.02E+13,38211,10500,3,58,วงษ์พาณิชย์ สาขาตำบลดอนหัวฬ่อ,วงษ์พาณิชย์ สาขาตำบลดอนหัวฬ่อ,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,โฉนดที่ดินเลขที่ 6766,7,,,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,800000,500000,200000,500000,2000000,6,2,8,67.6,2401,288
57,3-105-54/64ชบ,1.02E+13,38211,10500,3,64,บริษัท แอ๊บโซลูท เพาเวอร์ เวิลด์ จำกัด,บริษัท แอ๊บโซลูท เพาเวอร์ เวิลด์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,66,4,,ชลประทาน,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,10000000,10000000,5000000,10000000,35000000,11,10,21,490,1000,1000
58,3-106-19/66ชบ,1.02E+13,38300,10600,3,66,บริษัท วิสุทธิ์ พลาสติก จำกัด,บริษัท วิสุทธิ์ พลาสติก จำกัด,ถอดแยกและบดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ เครื่องใช้ไฟฟ้า ชิ้นส่วนแผงวงจรอิเล็กทรอนิกส์ บดย่อยเศษสายไฟที่ใช้แล้วเกี่ยวกับรถยนต์ และเศษสายไฟ และเก็บรวบรวมแบตเตอรี่เก่าโดยไม่มีการแปรสภาพ,โฉนดที่ดินเลขที่ 5969,8,-,-,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,64800000,120000000,25000000,60000000,269800000,25,25,50,1787.5,3600,3600
59,3-106-16/53ชบ,1.02E+13,38300,10600,3,53,บริษัท โปรมิลเลี่ยน กรีน เทคโนโลยี จำกัด,บริษัท โปรมิลเลี่ยน กรีน เทคโนโลยี จำกัด,ผลิตน้ำมันเชื้อเพลิงจากยางรถยนต์ที่ไม่ใช้แล้ว,112,3,-,-,ท่าบุญมี,เกาะจันทร์,20,ชลบุรี,20240,,0,6000000,2000000,200000,8200000,8,0,8,165.6,19412,0
